scenario,latencyAvg,rps,latencyMax,latencyStdev,totalRequests,latency99,debit,timeout,read,write,connect,name,cpu_0,dram_0,cpu,dram,level,display_name,classification,database,language,os,framework,webserver,orm,platform,approach,status,5xx
update,0.36415,,0.39603,0.010119999999999999,26136.0,0.39176,778.67KB,,,,,salvo-pg,683.1806335449219,256.3390197753906,1773.8535766601562,511.2474174499512,15.0,Salvo [PG],micro,postgres,rust,linux,salvo,hyper,raw,rust,realistic,sucess,
update,0.47694000000000003,,0.50134,0.0092,19896.0,0.49783,746.31KB,,,,,salvo-pg,694.7699737548828,273.17711639404297,1860.6109161376955,543.6236152648926,20.0,Salvo [PG],micro,postgres,rust,linux,salvo,hyper,raw,rust,realistic,sucess,
update,0.7022,,0.73278,0.01659,13440.0,0.7310700000000001,711.33KB,,,,,salvo-pg,700.4673309326172,263.03491592407227,1829.8555145263672,524.5431213378906,30.0,Salvo [PG],micro,postgres,rust,linux,salvo,hyper,raw,rust,realistic,sucess,
update,1.13,,1.16,0.028710000000000003,8160.0,1.16,684.26KB,,,,,salvo-pg,684.3393859863281,262.1360664367676,1801.9239807128904,522.9989624023438,50.0,Salvo [PG],micro,postgres,rust,linux,salvo,hyper,raw,rust,realistic,sucess,
query,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,salvo-pg,457.0626678466797,107.73674392700195,813.5900726318359,208.61895751953125,0.0,Salvo [PG],micro,postgres,rust,linux,salvo,hyper,raw,rust,realistic,sucess,
query,0.01854,,0.023760000000000003,0.00096,518706.0,0.020829999999999998,4.11MB,,,,,salvo-pg,1037.5486907958984,271.9790916442871,2329.199508666992,548.3376312255859,1.0,Salvo [PG],micro,postgres,rust,linux,salvo,hyper,raw,rust,realistic,sucess,
query,0.0952,,0.10824,0.00214,101016.0,0.10202,1.41MB,,,,,salvo-pg,1072.04736328125,265.61762619018555,2165.898712158203,533.3041763305664,5.0,Salvo [PG],micro,postgres,rust,linux,salvo,hyper,raw,rust,realistic,sucess,
query,0.19059,,0.21403,0.00369,50237.0,0.20082,1.08MB,,,,,salvo-pg,807.52294921875,262.88555908203125,1948.405044555664,526.052791595459,10.0,Salvo [PG],micro,postgres,rust,linux,salvo,hyper,raw,rust,realistic,sucess,
query,0.28839,,0.31918,0.0053,33120.0,0.31448000000000004,0.96MB,,,,,salvo-pg,844.4844360351562,261.4351005554199,1948.6505737304688,523.2047157287598,15.0,Salvo [PG],micro,postgres,rust,linux,salvo,hyper,raw,rust,realistic,sucess,
query,0.38306,,0.40912000000000004,0.0072900000000000005,24960.0,0.40755,0.91MB,,,,,salvo-pg,787.7245025634766,268.3358764648437,1950.5278930664065,535.481761932373,20.0,Salvo [PG],micro,postgres,rust,linux,salvo,hyper,raw,rust,realistic,sucess,
query,0.57753,,0.6110800000000001,0.008830000000000001,16320.0,0.6078,865.78KB,,,,,salvo-pg,683.9008026123047,262.1245574951172,1818.11767578125,522.3703727722168,30.0,Salvo [PG],micro,postgres,rust,linux,salvo,hyper,raw,rust,realistic,sucess,
query,0.9661900000000001,,1.02,0.01384,9600.0,1.01,807.15KB,,,,,salvo-pg,849.6496276855469,263.5768508911133,1911.490234375,525.6907043457031,50.0,Salvo [PG],micro,postgres,rust,linux,salvo,hyper,raw,rust,realistic,sucess,
fortune,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,actix-core,513.4049835205078,111.89569473266602,889.0020446777344,218.5579605102539,0.0,Actix [Platform],platform,postgres,rust,linux,actix,actix-web,raw,none,realistic,sucess,
fortune,0.00017827,,0.004200000000000001,2.112e-05,1710415.0,0.000227,110.77MB,,,,,actix-core,1706.8824310302734,269.5028343200684,3048.438690185547,529.0320587158203,16.0,Actix [Platform],platform,postgres,rust,linux,actix,actix-web,raw,none,realistic,sucess,
fortune,0.00019000999999999998,,0.0036200000000000004,1.839e-05,3216727.0,0.000235,208.33MB,,,,,actix-core,2024.9928894042969,290.1467399597168,3822.137893676758,571.9999160766602,32.0,Actix [Platform],platform,postgres,rust,linux,actix,actix-web,raw,none,realistic,sucess,
